outcome,model,variable,coef,se,pvalue,ci_low,ci_high,n,r2,bh_pvalue
mid_x,OLS,voucher,0.3989987823028022,0.0351946468534845,8.612558017233381e-30,0.33001854202136666,0.4679790225842378,1207,0.1652237715936954,4.3062790086166906e-29
mid_x,OLS,training,0.021572326429276367,0.03153551581536215,0.49393444606381864,-0.04023614880272673,0.08338080166127947,1207,0.1652237715936954,
mid_x,OLS,voucher_x_training,-0.015334509665144061,0.05249015623552136,0.7701790684438805,-0.11821332542964648,0.08754430609935836,1207,0.1652237715936954,
mid_x,ANCOVA,voucher,0.4008882652532817,0.035170807066306396,4.262442521737022e-30,0.3319547500961143,0.4698217804104491,1207,0.16728014507947453,
mid_x,ANCOVA,training,0.022496651114956398,0.03161029054524775,0.47665826160429225,-0.03945837989457618,0.08445168212448897,1207,0.16728014507947453,
mid_x,ANCOVA,voucher_x_training,-0.015864942989613613,0.05244661104429189,0.7622732129586305,-0.11865841174760636,0.08692852576837912,1207,0.16728014507947453,
mid_salary,OLS,voucher,65.34239841248387,5.8851396081864555,1.213733335228456e-28,53.807736736448255,76.8770600885195,1207,0.16171683919215785,3.0343333380711403e-28
mid_salary,OLS,training,4.49135445277446,4.9922560867952,0.3682989406434045,-5.293287678944998,14.275996584493917,1207,0.16171683919215785,
mid_salary,OLS,voucher_x_training,-3.216500651604905,8.721962124004529,0.7122903920040486,-20.311232289176253,13.878230985966445,1207,0.16171683919215785,
mid_salary,ANCOVA,voucher,65.93489519320053,5.867061836565144,2.648880762633273e-29,54.43566529846343,77.43412508793764,1207,0.1683613968335156,
mid_salary,ANCOVA,training,4.821585049021645,5.01088696809654,0.33593816355625217,-4.99957293904868,14.642743037091972,1207,0.1683613968335156,
mid_salary,ANCOVA,voucher_x_training,-3.410020658043611,8.689123754234899,0.6947279553890924,-20.440390273555476,13.620348957468256,1207,0.1683613968335156,
end_x,OLS,voucher,0.03034950968066419,0.03252101977603697,0.3507025236751764,-0.03339051782088312,0.0940895371822115,1255,0.0007091021447793722,0.3507025236751764
end_x,OLS,training,0.011187698833509868,0.03249777753656478,0.7306504406499194,-0.052506774715751894,0.07488217238277163,1255,0.0007091021447793722,
end_x,OLS,voucher_x_training,-0.02839455190775167,0.04835247116574194,0.5570418822832806,-0.12316365395611732,0.06637455014061398,1255,0.0007091021447793722,
end_x,ANCOVA,voucher,0.030267796571433865,0.03259744182706118,0.3531312198333376,-0.033622015397745585,0.09415760854061331,1255,0.002175963189837149,
end_x,ANCOVA,training,0.009795404519610904,0.032544146968909615,0.763423485489887,-0.05398995144703031,0.07358076048625212,1255,0.002175963189837149,
end_x,ANCOVA,voucher_x_training,-0.027676879932383398,0.048423072500306405,0.5676174614303248,-0.12258435805375585,0.06723059818898906,1255,0.002175963189837149,
end_lfp,OLS,voucher,0.10126561059425236,0.03805470493232643,0.007789654939807892,0.026679759484593793,0.17585146170391092,1255,0.007482939242577702,0.012982758233013154
end_lfp,OLS,training,0.053305054789678924,0.03892109352758576,0.17082203059360712,-0.02297888676330416,0.12958899634266202,1255,0.007482939242577702,
end_lfp,OLS,voucher_x_training,-0.05836080400474033,0.05685416604614625,0.30465594242345195,-0.16979292182624697,0.05307131381676632,1255,0.007482939242577702,
end_lfp,ANCOVA,voucher,0.10327770653714397,0.038053511143608026,0.006647364933790994,0.028694195210378623,0.1778612178639093,1255,0.01342928840241231,
end_lfp,ANCOVA,training,0.05484011212996571,0.03891562458422311,0.15877441244966428,-0.021433110490993106,0.13111333475092452,1255,0.01342928840241231,
end_lfp,ANCOVA,voucher_x_training,-0.06051476322986734,0.05678841913589103,0.2865963461821017,-0.17181801947517897,0.050788493015444296,1255,0.01342928840241231,
end_salary,OLS,voucher,6.95361704008129,6.341139318280638,0.2728215522838028,-5.474787644699632,19.382021724862213,1218,0.0013124691577737213,0.34102694035475345
end_salary,OLS,training,0.4902085187780152,6.105086379101871,0.9360025555970246,-11.475540906767698,12.455957944323728,1218,0.0013124691577737213,
end_salary,OLS,voucher_x_training,-2.8713001367117426,9.361914597050262,0.7590716541803699,-21.220315573270067,15.477715299846583,1218,0.0013124691577737213,
end_salary,ANCOVA,voucher,6.992143631262827,6.356887524101068,0.27136177673155804,-5.467126969747261,19.451414232272917,1218,0.004939295607104821,
end_salary,ANCOVA,training,0.26106898314656224,6.0768826185167795,0.9657326188235952,-11.64940208742378,12.171540053716907,1218,0.004939295607104821,
end_salary,ANCOVA,voucher_x_training,-2.796241511470404,9.369902029093048,0.7653764895477485,-21.16091202716155,15.568429004220745,1218,0.004939295607104821,
