iso2_code,year,quarter,quarter_id,hhi_raw,hhi_norm,entropy,n_languages,total_pushers,log_pushers,balanced,t_index,event_time,post,event_time_alt,drop_q4_2022,epi_score,proficiency_band,epi_high,epi_tercile,hhi_raw_wins,hhi_norm_wins,entropy_wins
AD,2023,1,20231,1.0,1.0,-1.110223024625156e-15,1.0,103.0,4.634728988229636,False,12,0,1,1,False,,,,,1.0,1.0,-1.110223024625156e-15
AD,2023,2,20232,0.5009096830709104,0.0018193661418208773,0.6922372214469983,2.0,211.0,5.351858133476067,False,13,1,1,2,False,,,,,0.5009096830709104,0.0018193661418208773,0.6922372214469983
AD,2023,4,20234,1.0,1.0,-1.110223024625156e-15,1.0,108.0,4.68213122712422,False,15,3,1,4,False,,,,,1.0,1.0,-1.110223024625156e-15
AD,2024,1,20241,0.5006492979465953,0.0012985958931905905,0.6924977420110264,2.0,222.0,5.402677381872279,False,16,4,1,5,False,,,,,0.5006492979465953,0.0016444555062963438,0.6924977420110264
AD,2024,2,20242,0.33473765432098757,0.0021064814814813755,1.096535511399883,3.0,360.0,5.886104031450156,False,17,5,1,6,False,,,,,0.33473765432098757,0.0021064814814813755,1.096535511399883
AD,2024,3,20243,1.0,1.0,-1.110223024625156e-15,1.0,116.0,4.7535901911063645,False,18,6,1,7,False,,,,,1.0,1.0,-1.110223024625156e-15
AD,2024,4,20244,0.33709576278778103,0.005643644181671569,1.0928326216914293,3.0,366.0,5.902633333401366,False,19,7,1,8,False,,,,,0.33709576278778103,0.005643644181671569,1.0928326216914293
AD,2025,1,20251,0.338302752293578,0.007454128440366996,1.091037724456998,3.0,436.0,6.077642243349034,False,20,8,1,9,False,,,,,0.338302752293578,0.007454128440366996,1.091037724456998
AD,2025,2,20252,0.21333259201601246,0.016665740020015557,1.574565399963237,5.0,782.0,6.661854740545311,False,21,9,1,10,False,,,,,0.21333259201601246,0.016665740020015557,1.574565399963237
AD,2025,3,20253,0.2582064666360683,0.010941955514757703,1.3690527769121106,4.0,621.0,6.431331081933479,False,22,10,1,11,False,,,,,0.2582064666360683,0.010941955514757703,1.3690527769121106
AE,2020,1,20201,0.09574156627617879,0.05463891019782328,2.6837967078678377,23.0,11453.0,9.346006983397716,True,0,-12,0,-11,False,487.0,Low,0.0,medium,0.09574156627617879,0.05463891019782328,2.6837967078678377
AE,2020,2,20202,0.10159810761558354,0.06076165796174642,2.632092580573316,23.0,16135.0,9.688746104486063,True,1,-11,0,-10,False,487.0,Low,0.0,medium,0.10159810761558354,0.06076165796174642,2.632092580573316
AE,2020,3,20203,0.1013967154369104,0.06232700741242824,2.6481681662689294,24.0,16141.0,9.68911789777328,True,2,-10,0,-9,False,487.0,Low,0.0,medium,0.1013967154369104,0.06232700741242824,2.6481681662689294
AE,2020,4,20204,0.09476281707655802,0.05704460112141461,2.7160521782899476,25.0,17174.0,9.75115189123243,True,3,-9,0,-8,False,487.0,Low,0.0,medium,0.09476281707655802,0.05704460112141461,2.7160521782899476
AE,2021,1,20211,0.09202011058443844,0.05570091500781598,2.7406012510495255,26.0,17989.0,9.797515738962685,True,4,-8,0,-7,False,487.0,Low,0.0,medium,0.09202011058443844,0.05570091500781598,2.7406012510495255
AE,2021,2,20212,0.09167771433882672,0.05534482291237979,2.7432782022484012,26.0,19723.0,9.889540746403503,True,5,-7,0,-6,False,487.0,Low,0.0,medium,0.09167771433882672,0.05534482291237979,2.7432782022484012
AE,2021,3,20213,0.09245227456167054,0.05754659281404249,2.7550068774633165,27.0,19420.0,9.874058741845316,True,6,-6,0,-5,False,487.0,Low,0.0,medium,0.09245227456167054,0.05754659281404249,2.7550068774633165
AE,2021,4,20214,0.08796032325843477,0.05538747766052172,2.8134717008436705,29.0,20087.0,9.907828118634548,True,7,-5,0,-4,False,487.0,Low,0.0,medium,0.08796032325843477,0.05538747766052172,2.8134717008436705
AE,2022,1,20221,0.08717878490981303,0.055702191286013475,2.8325385072546645,30.0,23812.0,10.077944934273281,True,8,-4,0,-3,False,487.0,Low,0.0,medium,0.08717878490981303,0.055702191286013475,2.8325385072546645
AE,2022,2,20222,0.0823942060160495,0.052794019113341424,2.8970722646603773,32.0,26679.0,10.19163201806775,True,9,-3,0,-2,False,487.0,Low,0.0,medium,0.0823942060160495,0.052794019113341424,2.8970722646603773
AE,2022,3,20223,0.08383014192188333,0.05427627553226667,2.881596076506312,32.0,27135.0,10.208579686497504,True,10,-2,0,-1,False,487.0,Low,0.0,medium,0.08383014192188333,0.05427627553226667,2.881596076506312
AE,2022,4,20224,0.07985658574242288,0.05429704645749018,2.9501190735879153,37.0,30623.0,10.329506639592042,True,11,-1,0,0,True,487.0,Low,0.0,medium,0.07985658574242288,0.05429704645749018,2.9501190735879153
AE,2023,1,20231,0.07785066321284445,0.05292770816454295,2.9790721086213714,38.0,33578.0,10.421626369596343,True,12,0,1,1,False,487.0,Low,0.0,medium,0.07785066321284445,0.05292770816454295,2.9790721086213714
AE,2023,2,20232,0.07695326257062218,0.05387709413488774,3.009794230458358,41.0,35920.0,10.489049522416137,True,13,1,1,2,False,487.0,Low,0.0,medium,0.07695326257062218,0.05387709413488774,3.009794230458358
AE,2023,3,20233,0.07668514379421469,0.053010403891502245,3.004068731220042,40.0,35009.0,10.463360450273136,True,14,2,1,3,False,487.0,Low,0.0,medium,0.07668514379421469,0.053010403891502245,3.004068731220042
AE,2023,4,20234,0.07555407624571418,0.054055333832823814,3.0387620027023585,44.0,38359.0,10.554744459835888,True,15,3,1,4,False,487.0,Low,0.0,medium,0.07555407624571418,0.054055333832823814,3.0387620027023585
AE,2024,1,20241,0.07664637676936174,0.054661766692441785,3.016180787596577,43.0,41956.0,10.644376729081495,True,16,4,1,5,False,487.0,Low,0.0,medium,0.07664637676936174,0.054661766692441785,3.016180787596577
AE,2024,2,20242,0.07524954570157791,0.05469953560605742,3.0495126028034063,46.0,44994.0,10.714284426529444,True,17,5,1,6,False,487.0,Low,0.0,medium,0.07524954570157791,0.05469953560605742,3.0495126028034063
AE,2024,3,20243,0.07599402072414012,0.05499388483150694,3.03929518978317,45.0,45404.0,10.72335548587523,True,18,6,1,7,False,487.0,Low,0.0,medium,0.07599402072414012,0.05499388483150694,3.03929518978317
AE,2024,4,20244,0.07719585271365481,0.057561721920328324,3.0377036739643337,48.0,49781.0,10.815388664108726,True,19,7,1,8,False,487.0,Low,0.0,medium,0.07719585271365481,0.057561721920328324,3.0377036739643337
AE,2025,1,20251,0.08131040719687535,0.06256163999681158,3.0100693877732843,50.0,55240.0,10.919442607523228,True,20,8,1,9,False,487.0,Low,0.0,medium,0.08131040719687535,0.06256163999681158,3.0100693877732843
AE,2025,2,20252,0.08383033001679639,0.0662116825171194,2.994592638118176,53.0,69740.0,11.152529320229641,True,21,9,1,10,False,487.0,Low,0.0,medium,0.08383033001679639,0.0662116825171194,2.994592638118176
AE,2025,3,20253,0.08257589276566582,0.0658954544523143,3.01284527447977,56.0,74751.0,11.22191786908987,True,22,10,1,11,False,487.0,Low,0.0,medium,0.08257589276566582,0.0658954544523143,3.01284527447977
AF,2020,1,20201,1.0,1.0,-1.110223024625156e-15,1.0,101.0,4.61512051684126,True,0,-12,0,-11,False,446.0,Very Low,0.0,low,1.0,1.0,-1.110223024625156e-15
AF,2020,2,20202,1.0,1.0,-1.110223024625156e-15,1.0,160.0,5.075173815233827,True,1,-11,0,-10,False,446.0,Very Low,0.0,low,1.0,1.0,-1.110223024625156e-15
AF,2020,3,20203,1.0,1.0,-1.110223024625156e-15,1.0,147.0,4.990432586778736,True,2,-10,0,-9,False,446.0,Very Low,0.0,low,1.0,1.0,-1.110223024625156e-15
AF,2020,4,20204,0.3489116143170197,0.02336742147552961,1.0761848096219695,3.0,370.0,5.91350300563827,True,3,-9,0,-8,False,446.0,Very Low,0.0,low,0.3489116143170197,0.02336742147552961,1.0761848096219695
AF,2021,1,20211,0.21012573522226033,0.012657169027825398,1.5855479587659391,5.0,777.0,6.655440350367647,True,4,-8,0,-7,False,446.0,Very Low,0.0,low,0.21012573522226033,0.012657169027825398,1.5855479587659391
AF,2021,2,20212,0.2656816326530612,0.020908843537414956,1.3554756672169135,4.0,700.0,6.551080335043404,True,5,-7,0,-6,False,446.0,Very Low,0.0,low,0.2656816326530612,0.020908843537414956,1.3554756672169135
AF,2021,3,20213,0.3418511925952296,0.012776788892844447,1.0861776213568524,3.0,530.0,6.272877006546167,True,6,-6,0,-5,False,446.0,Very Low,0.0,low,0.3418511925952296,0.012776788892844447,1.0861776213568524
AF,2021,4,20214,0.33717646295013853,0.005764694425207827,1.092959360452805,3.0,608.0,6.410174881966167,True,7,-5,0,-4,False,446.0,Very Low,0.0,low,0.33717646295013853,0.005764694425207827,1.092959360452805
AF,2022,1,20221,0.34364229024943316,0.015463435374149763,1.0835484506200876,3.0,840.0,6.733401891837359,True,8,-4,0,-3,False,446.0,Very Low,0.0,low,0.34364229024943316,0.015463435374149763,1.0835484506200876
AF,2022,2,20222,0.2896076099881094,0.05281014665081255,1.2957055475799057,4.0,1305.0,7.173958319756794,True,9,-3,0,-2,False,446.0,Very Low,0.0,low,0.2896076099881094,0.05281014665081255,1.2957055475799057
AF,2022,3,20223,0.21621013374485595,0.05945216049382715,1.6358033071657208,6.0,1728.0,7.454719949364001,True,10,-2,0,-1,False,446.0,Very Low,0.0,low,0.21621013374485595,0.05945216049382715,1.6358033071657208
