event_time,coef,se,ci_low,ci_high,pval,specification
-12,0.09506527347875311,0.012676529144338191,0.07021927635585026,0.11991127060165596,8.237854842718662e-14,main_hhi_norm
-11,0.1210089812519962,0.015560022744528399,0.09051133667272054,0.15150662583127186,9.992007221626409e-15,main_hhi_norm
-10,0.11263054624516028,0.014990018397712543,0.0832501101856437,0.14201098230467685,7.394085344003543e-14,main_hhi_norm
-9,0.08504592561543205,0.010237490797706588,0.06498044365192714,0.10511140757893696,2.220446049250313e-16,main_hhi_norm
-8,0.09671994529154837,0.012294358044679108,0.07262300352397733,0.12081688705911942,4.884981308350689e-15,main_hhi_norm
-7,0.07808972206429705,0.011532035786653266,0.055486931922456656,0.10069251220613745,1.5075052317570226e-11,main_hhi_norm
-6,0.0808544163807807,0.010177587654194244,0.06090634457855998,0.10080248818300142,2.6645352591003757e-15,main_hhi_norm
-5,0.07122149776009114,0.008351122370472896,0.05485329791396426,0.08758969760621801,0.0,main_hhi_norm
-4,0.07847239555525833,0.009191840514705344,0.06045638814643585,0.0964884029640808,0.0,main_hhi_norm
-3,0.08152937285347842,0.011239781342798695,0.059499401421592976,0.10355934428536386,5.055955654142963e-13,main_hhi_norm
-2,0.08141963633770098,0.010102256407236221,0.06161921377951799,0.10122005889588398,1.1102230246251565e-15,main_hhi_norm
-1,0.0,0.0,0.0,0.0,,main_hhi_norm
0,0.07170383319573558,0.010175635357340538,0.051759587895348125,0.09164807849612303,2.2311041902867146e-12,main_hhi_norm
1,0.06107378225948926,0.008514487935076906,0.04438538590673852,0.07776217861224,9.061640326990528e-13,main_hhi_norm
2,0.06574424322128315,0.0070056191958649434,0.05201322959738786,0.07947525684517844,0.0,main_hhi_norm
3,0.06197204597173772,0.006550959067115447,0.049132166200191445,0.07481192574328399,0.0,main_hhi_norm
4,0.06972455420370868,0.0073196498658976645,0.05537804046654926,0.0840710679408681,0.0,main_hhi_norm
5,0.05425896605097981,0.005504613352522133,0.043469923880036426,0.06504800822192319,0.0,main_hhi_norm
6,0.07876228373732207,0.008879796299994813,0.06135788298933223,0.0961666844853119,0.0,main_hhi_norm
7,0.05264841106814424,0.007541020888566754,0.0378680101265534,0.06742881200973508,3.5271785492341223e-12,main_hhi_norm
8,0.07586033451167921,0.01063371736127072,0.055018248483588605,0.09670242053976982,1.198596777385319e-12,main_hhi_norm
9,0.04995023537820512,0.008673906836204694,0.032949377979243924,0.06695109277716632,9.272059342535499e-09,main_hhi_norm
10,0.03876470266165416,0.010048708227190836,0.019069234536360124,0.05846017078694819,0.00011670336002467252,main_hhi_norm
-12,2.1467840791029715,0.027788734146373378,2.0923181601760796,2.2012499980298634,0.0,main_entropy
-11,2.1970055393825283,0.02500373028713482,2.147998228019744,2.2460128507453128,0.0,main_entropy
-10,2.239839848628137,0.023779019865257333,2.193232969692233,2.286446727564041,0.0,main_entropy
-9,2.351121364297955,0.01820372137374948,2.315442070405406,2.386800658190504,0.0,main_entropy
-8,2.3685125518883217,0.018404463244365576,2.3324398039293652,2.404585299847278,0.0,main_entropy
-7,2.417388023176315,0.014644631193635802,2.3886845460367887,2.446091500315841,0.0,main_entropy
-6,2.378667243651118,0.014712192947684005,2.3498313454736572,2.407503141828579,0.0,main_entropy
-5,2.415058260015874,0.014656120879307486,2.3863322630924313,2.4437842569393164,0.0,main_entropy
-4,2.438319280190959,0.012220977662105958,2.4143661639732312,2.4622723964086863,0.0,main_entropy
-3,2.485455989987638,0.014392543056498949,2.4572466055969002,2.513665374378376,0.0,main_entropy
-2,2.49859021857889,0.01512700127128734,2.468941296087167,2.5282391410706135,0.0,main_entropy
-1,0.0,0.0,0.0,0.0,,main_entropy
0,2.557739048459469,0.015243292193532368,2.5278621957601457,2.5876159011587925,0.0,main_entropy
1,2.5618796895237232,0.01308683242027782,2.5362294979799787,2.587529881067468,0.0,main_entropy
2,2.5538715651544184,0.011659851999383663,2.5310182552356264,2.5767248750732104,0.0,main_entropy
3,2.582825338742262,0.011976679573380096,2.559351046778437,2.606299630706087,0.0,main_entropy
4,2.590909351273364,0.012225680341071082,2.5669470178048646,2.6148716847418636,0.0,main_entropy
5,2.6257425600783155,0.012163711770803155,2.601901685007541,2.64958343514909,0.0,main_entropy
6,2.5999219553908373,0.015196054994318267,2.5701376876019735,2.629706223179701,0.0,main_entropy
7,2.6434331289240083,0.015143579486742664,2.6137517131299925,2.673114544718024,0.0,main_entropy
8,2.617635642433685,0.01830354354096248,2.581760697093398,2.6535105877739715,0.0,main_entropy
9,2.703512962559991,0.0201294042528225,2.6640593302244593,2.742966594895523,0.0,main_entropy
10,2.70469873592873,0.02225874892204423,2.661071588041523,2.748325883815937,0.0,main_entropy
-12,-0.0005884369856382375,0.0003605828771363957,-0.0012951794248255732,0.0001183054535490981,0.10282460290094875,epi_continuous_hhi_norm
-11,-0.0004624657100183029,0.00029822719150048304,-0.0010469910053592497,0.0001220595853226438,0.12109545193376259,epi_continuous_hhi_norm
-10,-0.00038022776479103954,0.00026828447092981027,-0.0009060653278134676,0.00014560979823138853,0.15653187406644475,epi_continuous_hhi_norm
-9,0.00013743905994986974,2.3236919125570103e-05,9.189469846375234e-05,0.00018298342143598713,3.776384316367398e-09,epi_continuous_hhi_norm
-8,6.207011408922653e-05,8.272087540999479e-05,-0.00010006280171436325,0.00022420302989281633,0.453110394090702,epi_continuous_hhi_norm
-7,6.239957358541287e-05,6.853393852433521e-05,-7.192694592228412e-05,0.00019672609309310987,0.36265050604474913,epi_continuous_hhi_norm
-6,-4.268125582921348e-05,0.00018026765517349877,-0.0003960058599692711,0.00031064334831084413,0.8128575784591794,epi_continuous_hhi_norm
-5,0.00015440872117482212,2.5790185448948626e-05,0.00010385995769488281,0.00020495748465476144,2.440854185437047e-09,epi_continuous_hhi_norm
-4,0.0001556178701818801,2.48569380469968e-05,0.00010689827160976637,0.0002043374687539938,4.4960901668389397e-10,epi_continuous_hhi_norm
-3,0.00015134641961815474,2.453454310349237e-05,0.0001032587151353097,0.00019943412410099978,7.997777995427668e-10,epi_continuous_hhi_norm
-2,0.00013563816090138606,2.4780988196395542e-05,8.706742403645081e-05,0.00018420889776632132,4.849224488623349e-08,epi_continuous_hhi_norm
-1,0.0,0.0,0.0,0.0,,epi_continuous_hhi_norm
0,0.00011446445980510834,2.245281016940743e-05,7.045695187306978e-05,0.0001584719677371469,3.687706375821165e-07,epi_continuous_hhi_norm
1,0.000117489116069278,2.4796397667792746e-05,6.888817664040422e-05,0.0001660900554981518,2.2767200533735377e-06,epi_continuous_hhi_norm
2,9.67568855382603e-05,2.511843287245848e-05,4.7524757108241675e-05,0.00014598901396827891,0.00012006847066658999,epi_continuous_hhi_norm
3,9.669988501101516e-05,2.1458595011208144e-05,5.46410387890472e-05,0.00013875873123298313,6.8967191186875e-06,epi_continuous_hhi_norm
4,7.97055886354367e-05,1.6144266644790686e-05,4.806282601164695e-05,0.00011134835125922645,8.448813788586307e-07,epi_continuous_hhi_norm
5,8.146309756802917e-05,1.470994405712756e-05,5.263160721605915e-05,0.00011029458791999918,3.377401802673319e-08,epi_continuous_hhi_norm
6,5.033256951423743e-05,1.1020270121393585e-05,2.8732840076306003e-05,7.193229895216886e-05,5.179104162422732e-06,epi_continuous_hhi_norm
7,4.386204841123719e-05,1.531578891929215e-05,1.384310212942458e-05,7.38809946930498e-05,0.004219978263704682,epi_continuous_hhi_norm
8,5.165376090432144e-05,1.4226969746680835e-05,2.3768900200827e-05,7.953862160781588e-05,0.0002882991878485619,epi_continuous_hhi_norm
9,2.9523044729431945e-05,9.479853798276706e-06,1.0942531284809601e-05,4.810355817405429e-05,0.0018646094544045866,epi_continuous_hhi_norm
-12,0.00407946669407632,0.0007958787120070863,0.002519544418542431,0.005639388969610209,3.1888239115929196e-07,epi_continuous_entropy
-11,0.0037450690885360493,0.000709165142895731,0.0023551054084604162,0.005135032768611682,1.395109778812298e-07,epi_continuous_entropy
-10,0.003418719889777433,0.0006461889402412621,0.0021521895669045594,0.004685250212650306,1.3243463148349122e-07,epi_continuous_entropy
-9,0.0026351520402719776,0.0005773887413686276,0.0015034701071894676,0.0037668339733544875,5.262007631623433e-06,epi_continuous_entropy
-8,0.0023527004677210738,0.0004896857621105517,0.0013929163739843926,0.003312484561457755,1.6424515425494945e-06,epi_continuous_entropy
-7,0.0021166734286981524,0.0004689779172617643,0.0011974767108650945,0.0030358701465312103,6.67376144769527e-06,epi_continuous_entropy
-6,0.0023726995963277275,0.0005363338051413125,0.001321485338250755,0.0034239138544047,1.010466895334794e-05,epi_continuous_entropy
-5,0.002140414692723902,0.00048424440475745655,0.0011912956593992871,0.0030895337260485167,1.028311420414596e-05,epi_continuous_entropy
-4,0.0017640966344182134,0.00044143719881645785,0.0008988797247379561,0.0026293135440984706,6.620044172356288e-05,epi_continuous_entropy
-3,0.0014276198458606077,0.00045482049314496837,0.0005361716792964697,0.0023190680124247458,0.00171568527668442,epi_continuous_entropy
-2,0.0011393098400281174,0.00042936243165750897,0.00029775947397939987,0.001980860206076835,0.008016455646816523,epi_continuous_entropy
-1,0.0,0.0,0.0,0.0,,epi_continuous_entropy
0,0.0007580726034012332,0.0003639632870194772,4.470456084305788e-05,0.0014714406459594084,0.03736771062142896,epi_continuous_entropy
1,0.001066922455875112,0.0003718561735876799,0.0003380843556432595,0.0017957605561069647,0.004149674789354796,epi_continuous_entropy
2,0.001093692748629403,0.0003612514896869843,0.0003856398288429139,0.0018017456684158923,0.002490777589396309,epi_continuous_entropy
3,0.0008735683294066165,0.00036544090260391595,0.0001573041603029412,0.0015898324985102919,0.016900832004244748,epi_continuous_entropy
4,0.0009053201233725299,0.00036283855503743836,0.0001941565554991507,0.0016164836912459092,0.012655610896227465,epi_continuous_entropy
5,0.0009081572959588997,0.0003337532321793019,0.000254000960887468,0.0015623136310303314,0.006552390231264527,epi_continuous_entropy
6,0.0008811682247839398,0.0002485818741102248,0.0003939477515278992,0.0013683886980399803,0.0004001012258634251,epi_continuous_entropy
7,0.0006904233228282407,0.00021297725260275023,0.00027298790772685026,0.0011078587379296312,0.0012034019334541401,epi_continuous_entropy
8,0.0005449872482305077,0.00022457645474861175,0.00010481739692322866,0.0009851570995377868,0.015305216492794704,epi_continuous_entropy
9,0.0001895449062153605,0.00015389384005494547,-0.00011208702029233262,0.0004911768327230536,0.21819112811746266,epi_continuous_entropy
-12,-0.04962014245013349,0.033501846679604076,-0.11528376194215748,0.01604347704189049,0.13870066194670239,epi_binary_hhi_norm
-11,-0.04998468481973222,0.03153631376992681,-0.11179585980878878,0.011826490169324334,0.11309463867868019,epi_binary_hhi_norm
-10,-0.050295056523031685,0.03204038944602485,-0.11309421983724038,0.01250410679117702,0.11660148336643994,epi_binary_hhi_norm
-9,0.01691829653244666,0.0030944039364376582,0.010853264817028849,0.02298332824786447,5.0167863197003726e-08,epi_binary_hhi_norm
-8,-3.766383469016844e-05,0.01683007118576031,-0.03302460335878037,0.03294927568940003,0.9982146015852706,epi_binary_hhi_norm
-7,-0.0012750000004325994,0.016719721971393528,-0.03404565506436391,0.03149565506349872,0.9392204977191607,epi_binary_hhi_norm
-6,0.0009617817636492738,0.016458037446968273,-0.03129597163240854,0.03321953515970708,0.9534040483368664,epi_binary_hhi_norm
-5,0.018785650216941015,0.0033361086719760364,0.012246877219867985,0.025324423214014045,1.990379083771643e-08,epi_binary_hhi_norm
-4,0.0191693124876668,0.0032757851196107504,0.012748773653229729,0.02558985132210387,5.493606902717829e-09,epi_binary_hhi_norm
-3,0.018949077261375562,0.0029561687604016526,0.013154986490988323,0.0247431680317628,1.7314460976081136e-10,epi_binary_hhi_norm
-2,0.01650983359485099,0.002967454530551883,0.010693622714969299,0.02232604447473268,2.921248132281562e-08,epi_binary_hhi_norm
-1,0.0,0.0,0.0,0.0,,epi_binary_hhi_norm
0,0.014261100051964867,0.002895636712705149,0.008585652095062776,0.019936548008866958,8.981264763008312e-07,epi_binary_hhi_norm
1,0.014807381805089212,0.0029241071578832026,0.009076131775638135,0.02053863183454029,4.404930886714453e-07,epi_binary_hhi_norm
2,0.012047369269155467,0.002924089800813429,0.006316153259561147,0.017778585278749787,3.9103920098648715e-05,epi_binary_hhi_norm
3,0.012158084779182548,0.002466645770790666,0.007323459068432843,0.016992710489932252,8.802662581075538e-07,epi_binary_hhi_norm
4,0.01017561613945651,0.00199672184034336,0.0062620413323835255,0.014089190946529495,3.7233484628806934e-07,epi_binary_hhi_norm
5,0.009820097786660402,0.0019921946888287606,0.005915396196556031,0.013724799376764771,8.78968076323261e-07,epi_binary_hhi_norm
6,0.005765382467763415,0.0016377836414081328,0.002555326530603475,0.008975438404923356,0.00043882077328305513,epi_binary_hhi_norm
7,0.005245143171612943,0.0017107987353835793,0.001891977650261128,0.00859830869296476,0.0021931880171530693,epi_binary_hhi_norm
8,0.0075443851116087386,0.0017323680318064442,0.004148943769268108,0.010939826453949369,1.3841951123527707e-05,epi_binary_hhi_norm
9,0.0040485378122857634,0.0013267617581374784,0.0014480847663363057,0.006648990858235221,0.0023012182525428138,epi_binary_hhi_norm
-12,0.42164783865512706,0.09267405676857877,0.24000668738871267,0.6032889899215415,5.624629437983586e-06,epi_binary_entropy
-11,0.4085669331360875,0.084585465621281,0.24277942051837675,0.5743544457537982,1.445614734807421e-06,epi_binary_entropy
-10,0.3804104401770802,0.08081389216709116,0.22201521152958154,0.5388056688245788,2.6470422964663953e-06,epi_binary_entropy
-9,0.2775979454148127,0.07064340035549027,0.13913688071805178,0.41605901011157365,8.73913726122666e-05,epi_binary_entropy
-8,0.2517646387753738,0.06390936762371972,0.12650227823288315,0.37702699931786443,8.390665614643744e-05,epi_binary_entropy
-7,0.23648776433860483,0.06229175685903805,0.11439592089489024,0.3585796077823194,0.0001502480235009429,epi_binary_entropy
-6,0.2528110480365226,0.06431039958888429,0.12676266484230939,0.37885943123073584,8.683674031018107e-05,epi_binary_entropy
-5,0.2213463494112518,0.06156529623520231,0.10067836879025528,0.34201433003224835,0.0003302333277912517,epi_binary_entropy
-4,0.17407546642905936,0.054550860436500447,0.06715577997351849,0.2809951528846002,0.0014349339947890005,epi_binary_entropy
-3,0.136446550851664,0.05453298540197522,0.02956189946379255,0.24333120223953542,0.012409167050074776,epi_binary_entropy
-2,0.11367771724707024,0.049701548107293395,0.016262682956775187,0.2110927515373653,0.02226639078235948,epi_binary_entropy
-1,0.0,0.0,0.0,0.0,,epi_binary_entropy
0,0.0829299363808163,0.04537798943427315,-0.006010922910359068,0.17187079567199168,0.06773746489246246,epi_binary_entropy
1,0.11613812670065496,0.04555546040925018,0.026849424298524605,0.2054268291027853,0.010850332165803778,epi_binary_entropy
2,0.12154685931496953,0.04337259908393421,0.03653656511045848,0.20655715351948056,0.005111402609051741,epi_binary_entropy
3,0.09629901812924303,0.04213011300021529,0.013723996648821069,0.178874039609665,0.022351499752446324,epi_binary_entropy
4,0.08634265816103251,0.04162146249873825,0.004764591663505541,0.16792072465855948,0.03813668828536265,epi_binary_entropy
5,0.10454897846296103,0.03836249272573032,0.029358492720529608,0.17973946420539244,0.006468933256557952,epi_binary_entropy
6,0.10476215513828037,0.031290930728463125,0.04343193091049265,0.16609237936606808,0.0008259364974696481,epi_binary_entropy
7,0.08120705212879177,0.027218171958085135,0.027859435090944906,0.13455466916663864,0.002876549345633528,epi_binary_entropy
8,0.05903193692475465,0.029685981213154182,0.0008474137469724544,0.11721646010253683,0.04685946994107093,epi_binary_entropy
9,0.024528651942445762,0.02192064881000593,-0.01843581972516586,0.06749312361005738,0.26325769732726956,epi_binary_entropy
-12,0.1466910456804887,0.04509120338453027,0.05831228704680938,0.23506980431416805,0.001186556204060052,epi_tercile_low_hhi_norm
-11,0.14598292103961438,0.04114087732882079,0.06534680147512564,0.22661904060410312,0.00040907376097343295,epi_tercile_low_hhi_norm
-10,0.14523867694990283,0.041725482772754584,0.06345673071530385,0.22702062318450184,0.0005255952991254365,epi_tercile_low_hhi_norm
-9,0.04336524685629341,0.0061630121051661,0.03128574313016785,0.05544475058241896,4.089395488904302e-12,epi_tercile_low_hhi_norm
-8,0.06807104728048036,0.021911311787322963,0.02512487617732735,0.11101721838363336,0.0019555849062542485,epi_tercile_low_hhi_norm
-7,0.04594625955656394,0.006589305621351978,0.03303122053871406,0.058861298574413815,6.278089159650335e-12,epi_tercile_low_hhi_norm
-6,0.06826457842804931,0.023722850068784343,0.021767792293232002,0.11476136456286662,0.004108630473488528,epi_tercile_low_hhi_norm
-5,0.04294957877666355,0.007227850371853348,0.02878299204783099,0.05711616550549611,4.113285489992791e-09,epi_tercile_low_hhi_norm
-4,0.04469769316201996,0.0072024362374845195,0.030580918136550297,0.058814468187489616,8.524556616151813e-10,epi_tercile_low_hhi_norm
-3,0.04602921023392636,0.00653781655080778,0.03321508979434311,0.05884333067350961,3.977707052627011e-12,epi_tercile_low_hhi_norm
-2,0.047856899301859324,0.006550500056946914,0.03501791919024337,0.060695879413475276,6.397105067890152e-13,epi_tercile_low_hhi_norm
-1,0.0,0.0,0.0,0.0,,epi_tercile_low_hhi_norm
0,0.05057913334961273,0.006321728438630433,0.03818854560989708,0.06296972108932838,3.9968028886505635e-15,epi_tercile_low_hhi_norm
1,0.05108245458997483,0.006307201854265714,0.03872033895561403,0.06344457022433563,1.9984014443252818e-15,epi_tercile_low_hhi_norm
2,0.05339984297433978,0.006783884856396698,0.04010342865580225,0.0666962572928773,1.0658141036401503e-14,epi_tercile_low_hhi_norm
3,0.05459087353991098,0.006520968362428544,0.04180977554955104,0.06737197153027093,2.220446049250313e-16,epi_tercile_low_hhi_norm
4,0.05704097167867878,0.005512699087095715,0.04623608146797118,0.06784586188938638,0.0,epi_tercile_low_hhi_norm
5,0.056193628180028515,0.005618920561462454,0.04518054387956211,0.06720671248049492,0.0,epi_tercile_low_hhi_norm
6,0.05994574848363208,0.0052091315536206915,0.04973585063853553,0.07015564632872863,0.0,epi_tercile_low_hhi_norm
7,0.06300052462666653,0.005628713329057703,0.05196824650171343,0.07403280275161962,0.0,epi_tercile_low_hhi_norm
8,0.06297654407174073,0.005198039896638027,0.0527883858743302,0.07316470226915127,0.0,epi_tercile_low_hhi_norm
9,0.06862327280600279,0.005088226871405594,0.05865034813804783,0.07859619747395775,0.0,epi_tercile_low_hhi_norm
10,0.07177953389691487,0.0049535452406671635,0.062070585225207225,0.08148848256862251,0.0,epi_tercile_low_hhi_norm
-12,1.6083519135905961,0.07264871084817076,1.4659604403281814,1.750743386853011,0.0,epi_tercile_low_entropy
-11,1.6946197613694853,0.062256979792603424,1.5725960809759827,1.816643441762988,0.0,epi_tercile_low_entropy
-10,1.7657692683080752,0.05852235177811058,1.6510654588229785,1.880473077793172,0.0,epi_tercile_low_entropy
-9,1.9578077837516974,0.03545232142156166,1.8883212337654365,2.027294333737958,0.0,epi_tercile_low_entropy
-8,2.0112072697299643,0.041048002673896015,1.9307531844891281,2.0916613549708005,0.0,epi_tercile_low_entropy
-7,2.080677457147026,0.0221076229512753,2.0373465161625264,2.124008398131526,0.0,epi_tercile_low_entropy
-6,2.032780393806785,0.03354036610344538,1.9670412762440324,2.0985195113695383,0.0,epi_tercile_low_entropy
-5,2.07874243089415,0.02342236256714427,2.032834600262547,2.1246502615257525,0.0,epi_tercile_low_entropy
-4,2.1499487898847764,0.018311678801467293,2.1140578994339005,2.1858396803356523,0.0,epi_tercile_low_entropy
-3,2.241505147594771,0.022551340708450527,2.1973045198062082,2.285705775383334,0.0,epi_tercile_low_entropy
-2,2.2813951033381126,0.026643386161618165,2.229174066461341,2.3336161402148843,0.0,epi_tercile_low_entropy
-1,0.0,0.0,0.0,0.0,,epi_tercile_low_entropy
0,2.359527664727996,0.03257227084012322,2.2956860138813546,2.4233693155746376,0.0,epi_tercile_low_entropy
1,2.324820645895427,0.02706127774448885,2.271780541516229,2.3778607502746247,0.0,epi_tercile_low_entropy
2,2.322396232169126,0.022189821163445637,2.278904182688773,2.3658882816494793,0.0,epi_tercile_low_entropy
3,2.348494104941248,0.029929926885423064,2.289831448245819,2.4071567616366774,0.0,epi_tercile_low_entropy
4,2.3656935368559897,0.025403456848047557,2.3159027614338163,2.415484312278163,0.0,epi_tercile_low_entropy
5,2.385115745155012,0.03220950444690688,2.321985116439074,2.4482463738709495,0.0,epi_tercile_low_entropy
6,2.3958467182772822,0.031879266056997584,2.333363356805567,2.4583300797489973,0.0,epi_tercile_low_entropy
7,2.4036267391452872,0.037323216835124164,2.3304732341484438,2.4767802441421307,0.0,epi_tercile_low_entropy
8,2.4172747871196867,0.038271259125967225,2.3422631192327907,2.4922864550065826,0.0,epi_tercile_low_entropy
9,2.4870848626678,0.04471393300807493,2.3994455539719732,2.574724171363627,0.0,epi_tercile_low_entropy
10,2.504584929251358,0.050177127269153944,2.4062377598038163,2.6029320986988997,0.0,epi_tercile_low_entropy
-12,0.06310158890518267,0.0014938967879738099,0.060173551200753995,0.06602962660961133,0.0,epi_tercile_medium_hhi_norm
-11,0.06568225233914392,0.0010880020810034585,0.06354976826037714,0.06781473641791069,0.0,epi_tercile_medium_hhi_norm
-10,0.06476016829837501,0.0011192402477012238,0.06256645741288061,0.06695387918386941,0.0,epi_tercile_medium_hhi_norm
-9,0.05629188867184562,0.0009691604054704365,0.05439233427712356,0.05819144306656768,0.0,epi_tercile_medium_hhi_norm
-8,0.05971421897417722,0.0008184492096486682,0.058110058523265826,0.06131837942508861,0.0,epi_tercile_medium_hhi_norm
-7,0.08265629203889646,0.022769915724668698,0.038027257218545815,0.1272853268592471,0.00030059798953319117,epi_tercile_medium_hhi_norm
-6,0.060068970292442014,0.0018612442684580637,0.056420931526264206,0.06371700905861982,0.0,epi_tercile_medium_hhi_norm
-5,0.059697277876985005,0.0013803648336592697,0.05699176280301284,0.06240279295095717,0.0,epi_tercile_medium_hhi_norm
-4,0.06344504635482506,0.001815130958141816,0.0598873896768671,0.06700270303278302,0.0,epi_tercile_medium_hhi_norm
-3,0.061479161211636844,0.0018003077517532314,0.05795055801820051,0.06500776440507318,0.0,epi_tercile_medium_hhi_norm
