quintile,EsSalud,Other,Private,SIS,Uninsured
1,0.75,1.0,0.6831263696128561,0.6410635155096012,0.673289183222958
2,0.7142857142857143,0.0,0.4705546026300743,0.5259697567389875,0.5144927536231884
3,0.6774193548387096,0.0,0.36423357664233574,0.4373857404021938,0.4010152284263959
4,0.5544554455445545,0.0,0.2603812117086453,0.34366295264623953,0.3359375
5,0.340080971659919,0.3333333333333333,0.2012987012987013,0.2734673111167642,0.3963963963963964
