Variable,SIS_mean,SIS_sd,SIS_n,EsSalud_mean,EsSalud_sd,EsSalud_n,Uninsured_mean,Uninsured_sd,Uninsured_n
oop_share,0.0295052731133737,0.1036886307734336,11189,0.03428790264108799,0.13595148481392355,648,0.025194980424162513,0.07439868047259804,1165
zero_oop,0.37331427131580763,0.48368453163994735,11189,0.409198213283374,0.49168591146083124,648,0.48654871735594907,0.4998190302451777,1165
health_expend,16440.7413529618,172406.48277405722,11189,30701.373171594063,235556.49322013836,648,3599.960972278532,61523.843984883446,1165
age_head,55.569397791379295,15.172206381571064,11189,54.86078027588583,14.72713154492492,648,52.01923271755947,15.177233442440738,1165
female_head,0.37989238790938806,0.4853598268479697,11189,0.37907512182795444,0.4851568548820845,648,0.32934333763619655,0.46997479037800194,1165
educ_years,11.789021068615925,5.637807159178908,11189,13.06789783527907,7.120285762428708,648,9.867256734476944,5.230407119881893,1165
hh_size,3.555063776615919,1.7419390977656457,11189,3.600905792054477,1.6372432655780935,648,2.0385543808573403,1.3165071992742323,1165
children_u5,0.17113706390374456,0.4246128064270881,11189,0.13647938011643404,0.36767432601667416,648,0.03607325574968667,0.20223193362055267,1165
elderly_65,0.5063310494586707,0.7384925579128877,11189,0.49364815848835664,0.7315770394569288,648,0.2603956254728939,0.5150907418385564,1165
rural,0.05900102490969833,0.23562661982319288,11189,0.009963753516080904,0.09932007416404647,648,0.1606950249634106,0.36724941649432125,1165
chronic_any,0.1724551842275446,0.377775586374488,11189,0.15296155743172446,0.3599504401716794,648,0.08393071173278567,0.27728387504651925,1165
hospitalized,0.0,0.0,11189,0.0,0.0,648,0.0,0.0,1165
