W2_WeightSocDemTurnAttrition	region	age	gender	W1_news_socmed	W1_news_important	W1_news_notime	W1_news_toomuch	W1_news_switchaway	W1_news_notinteresting	W2_news_socmed	W2_news_important	W2_news_notime	W2_news_toomuch	W2_news_switchaway	W2_news_notinteresting	congruence	congruence_EU	avoidance	education	interest	knowledge	internal_efficacy	external_efficacy	avoidance_alt	sample
1.5052319	0.0	23	1	4	2	4	4	4	1	2	5	4	2	3	4			3.1666667	1	0.0	0.0	2.0	4.0	0.53553355	
0.72400117	1.0	76	0	3	2	2	3	3	3	3	3	3	3	3	3	1.7811775	1.7811775	2.6666667	1	8.0	2.0	2.5		0.23698775	
	1.0	19	1	2	5	4	3		3	2	2	4		3	4	2.3985283	2.3985283		1	0.0	3.0		1.0		
	1.0	31	1	4	5	5	2	3	4	5	4	5	3	4	5	0.21882248	0.21882248	3.8333333	2	3.0	1.0	3.0	1.0	1.4504731	1.0
0.727598	0.0	70	0	1	1	1	2		3	1	2	1	2	1	1	0.95628405	0.95628405		1	8.0	4.0		4.0		
	0.0	39	1	1	1	2	2	1	1	1	1	2	2	1	2	2.043716	1.7428818	1.3333334	2	8.0	4.0	4.5	2.5	-1.2603625	1.0
0.4846953	0.0	70	1	1	1	3	2	1	2	1	2	4	1	1	2	3.2571182	3.2571182	1.6666666	1	8.0	1.0	4.0	4.0	-0.8522898	1.0
1.6269363	0.0	43	1	4	4	2	2	2	2	2	2	2	2	2	2	0.44434834	0.44434834	2.6666667	2	5.0	1.0	3.5	1.0	0.13372155	1.0
	0.0	82	0	1	2	4	4	2	4	1	2	4	5	1	4	2.956284	5.04803	2.8333333	2	10.0	4.0	4.0	1.0	0.49483493	1.0
	0.0	64	0	2	2	3	4	2	2									2.5	2	5.0	2.0	1.0	4.0	-0.015663546	
1.5442792	0.0	54	0	2	1	1	2	1	1	3	1	1	2	1	2	1.5556517	1.5556517	1.3333334	1	9.0	4.0	4.5	2.0	-1.2646505	1.0
	0.0	44	1	3	1	2	1	1	1									1.5	2	6.0	3.0	2.0	4.5	-1.1291574	
0.4929375	0.0	62	1	1	2	3	4	1	2	2	2	2	2	2	2	1.6005177	1.6005177	2.1666667	2	8.0	4.0	4.0	2.5	-0.34033102	1.0
0.8201622	0.0	52	0	2	2	3	3	2	2	1	2	3	2	1	1	1.043716	1.0480299	2.3333333	2	7.0	3.0	3.0	3.5	-0.18581758	1.0
	2.0	53	1	4	3	3		3	4	3	2	3	3	3	3	2.3994823	2.3994823		2	0.0	2.0	2.0	1.5		
0.7657631	0.0	68	0	2	1	2	3	1	1	3	1	1	2	1	2	1.956284	1.956284	1.6666666	1	10.0	3.0	3.5	2.5	-0.93952894	1.0
	0.0	35	1	2	3	4	4	1	2	2	2	4	4	3	4	2.043716	2.3994823	2.6666667	2	7.0	2.0	2.0	2.5	0.13696672	1.0
0.69458044	0.0	75	0	1	1	1	1	1	1	1	1	1	3	1	2	3.043716	0.7428818	1.0	1	10.0	1.0	3.5	1.0	-1.585484	1.0
	0.0	70	0	1	1	1	2	1	1	1	1	2	2	1	1	3.7428818	3.7428818	1.1666666	2	8.0	2.0	2.0	3.0	-1.41533	1.0
	0.0	76	1	3	2	2	4	2	5	4	4	2	5	2	4	0.95628405	0.95628405	3.0	2	4.0	1.0	1.0	1.0	0.73936445	1.0
	0.0	47	0	1	1	1	3	2	2	3	1	1	2	1	2	0.39948225	0.99281	1.6666666	1	7.0	4.0	2.5	2.0	-0.81808275	1.0
4.3651385	0.0	50	0	4	2	2	3	2	3	3	2	2	3	2	2	0.44434834	0.44434834	2.6666667	1	10.0	2.0	4.5	1.5	0.21367942	1.0
	0.0	64	1	1	1	1	1	1	1	2	1	2	1	1	1	0.25711823	1.9519701	1.0	1	10.0	2.0	3.0	3.0	-1.585484	1.0
	0.0	32	1	2	2	2	1	2	3									2.0	1	7.0	1.0	4.0	2.0	-0.42798778	
