definition,year,int_coef,int_se,int_pval
no_social_security,2021,0.09002254480537242,0.008088400174760936,8.980339077020439e-29
no_social_security,2022,0.09771409088334726,0.007937231066698447,7.91811205933605e-35
no_social_security,2023,0.08387123063365581,0.00790198861124242,2.5669210422600858e-26
no_social_security,2024,0.08817839014191411,0.00785102501759641,2.8575218278030576e-29
no_contract,2021,0.0018664973535728105,0.004064567739227642,0.646082097843526
no_contract,2022,-0.0012722726109453079,0.003815118744408282,0.7387706363877834
no_contract,2023,-0.004038374043080093,0.004033342473889414,0.31670717053485187
no_contract,2024,0.0036403735808834938,0.003813501377778814,0.3397793319046202
small_firm,2021,0.04355085219846501,0.006933330397401145,3.355903307970215e-10
small_firm,2022,0.04316696896559983,0.006790776442416757,2.0612603604811702e-10
small_firm,2023,0.04819588488926181,0.0068037068724850144,1.402861183745507e-12
small_firm,2024,0.05345570723981508,0.00680237710202181,3.891136007226072e-15
