group,year,coef,se,pval
Gender=0,2020,0.0,0.0,
Gender=0,2021,0.06332273653576742,0.05137214999861815,0.21771468697176732
Gender=0,2022,0.06358119576593238,0.04714160989145914,0.1774244402136882
Gender=0,2023,0.04559553687893738,0.0417214127691123,0.2744566021879663
Gender=0,2024,0.050425822063722814,0.04142267883003996,0.2234717759767939
Gender=1,2020,0.0,0.0,
Gender=1,2021,0.1490769822696129,0.07734826940067883,0.053936356007732444
Gender=1,2022,0.13601500563313604,0.07809424050647061,0.08156483779475412
Gender=1,2023,0.14075031748089678,0.07514296962334314,0.06105453864140431
Gender=1,2024,0.11397598494569713,0.07203841958992448,0.11361406620973162
