spec,year,int_coef,int_se
full,2020,0.0,0.0
full,2021,0.09002254480537242,0.008088400174760936
full,2022,0.09771409088334726,0.007937231066698447
full,2023,0.08387123063365581,0.00790198861124242
full,2024,0.08817839014191411,0.00785102501759641
balanced,2020,0.0,0.0
balanced,2021,0.07408732418483399,0.051867181124061516
balanced,2022,0.12470894855041947,0.04084233035377304
balanced,2023,0.14077861724664273,0.039216688017866985
balanced,2024,0.08241655192533881,0.04198375569416262
