year,int_coef,int_se,int_pval
2020,0.0,0.0,
2021,0.09002254480537242,0.06304265048095688,0.15330263411019068
2022,0.09771409088334726,0.05687791291957221,0.08580355360192825
2023,0.08387123063365581,0.05472509236536403,0.1253764504552579
2024,0.08817839014191411,0.047269173609751,0.06211802785880089
