year,yr_coef,yr_se,int_coef,int_se,int_pval,int_ci_lo,int_ci_hi
2020,0.0,0.0,0.0,0.0,,0.0,0.0
2021,0.173302863419174,0.06204363799938506,-0.2020994134777539,0.1200623500688779,0.09231951288885037,-0.4374216196127546,0.033222792657246786
2022,0.18708517741137295,0.05638522707482284,-0.21997977436579247,0.11154064486192376,0.048587480918004626,-0.438599438295163,-0.0013601104364218963
2023,0.16622467783884526,0.05533685909765567,-0.18846415925545762,0.10777569099434678,0.0803480117188327,-0.3997045136043773,0.02277619509346207
2024,0.16431775779436433,0.048239371572230516,-0.18993570818610686,0.09508457768530588,0.04576602775156423,-0.3763014804493064,-0.00356993592290733
