group,year,coef,se,pval
youth_15_29,2020,0.0,0.0,
youth_15_29,2021,0.08506564529429106,0.05319234537375991,0.10977430551866382
youth_15_29,2022,0.08838659160798792,0.05900191930951384,0.13412569215061812
youth_15_29,2023,0.07513502181056719,0.0545180755194959,0.1681516811015502
youth_15_29,2024,0.06896823803606801,0.06423716976361149,0.2829795738743237
prime_30_44,2020,0.0,0.0,
prime_30_44,2021,0.10960057680785862,0.058504585217275536,0.06101768238480723
prime_30_44,2022,0.106737891898787,0.056108522820588244,0.05712577743198046
prime_30_44,2023,0.10499490304580385,0.055306720641206925,0.05764192313124143
prime_30_44,2024,0.0871351836863011,0.048711697591864535,0.07364802634926419
senior_45_65,2020,0.0,0.0,
senior_45_65,2021,0.10767553515562331,0.06485147643161891,0.09684596528307725
senior_45_65,2022,0.09904443404605878,0.06431985272019514,0.12359120160889432
senior_45_65,2023,0.098896966634974,0.06275173566821864,0.11502495403803105
senior_45_65,2024,0.08466752208716327,0.06104893015264129,0.16547844811151657
