group,year,coef,se,pval
Lima=0,2020,0.0,0.0,
Lima=0,2021,0.11008554470063174,0.06671770238502553,0.09893884121149304
Lima=0,2022,0.10782957839405023,0.06631617986990054,0.10395135575568093
Lima=0,2023,0.10336176561474934,0.062435931873781374,0.09782610166529744
Lima=0,2024,0.08049746991154129,0.05931557010495407,0.17474777959185617
Lima=1,2020,0.0,0.0,
Lima=1,2021,0.03256177937615408,0.02722153864985337,0.23162748086397356
Lima=1,2022,0.03487858939139257,0.029437754840709613,0.23608662555019255
Lima=1,2023,0.031613507338551367,0.026003524625599943,0.2240842407055279
Lima=1,2024,0.07258076373525017,0.02104943106115704,0.0005645230850869507
