year,n_employed,n_individuals,pct_informal,pct_telework_low,pct_female,pct_rural,mean_telework
2020,50704,50704,19.5132533922373,76.44367308299148,45.22522877879457,41.44446197538656,0.15385590880403915
2021,53384,53384,34.517833058594334,75.0299715270493,46.690019481492584,36.45661621459613,0.1585467555821969
2022,54268,54268,35.56055133780497,74.34583916857079,47.040613252745636,34.79214269919658,0.16332092577577947
2023,52625,52625,34.316389548693586,73.90403800475059,46.726840855106886,33.97624703087886,0.16553273159144893
2024,51752,51752,33.63734734889473,73.45996289998455,46.873550780646156,33.98129540887309,0.169835755139898
