,count,mean,std,min,25%,50%,75%,max
freexp,7330.0,2.571350613915416,0.9323687315756028,1.0,2.0,3.0,3.0,4.0
freass,7330.0,2.806548431105048,1.0738640598360834,1.0,2.0,3.0,4.0,4.0
frerel,7330.0,3.2703956343792635,0.8258079520863569,1.0,3.0,3.0,4.0,4.0
fremov,7330.0,3.1631650750341063,0.8230588802460722,1.0,3.0,3.0,4.0,4.0
fairtrial,6824.0,2.2593786635404456,0.9488532048982912,1.0,2.0,2.0,3.0,4.0
ctot_index,7330.0,95.7114418539802,9.372964443270043,38.2994117737,95.540969848675,98.85527801515,100.0,162.9347839355
ctot_pct_change,7250.0,0.1666639022009596,5.003689347476146,-41.35274984466947,-0.9084872151073953,0.005726164158637026,0.9901089927570994,72.04045057834514
