liberty,coef,se,pvalue,ci_lower,ci_upper,n
freexp,0.06442455289229915,0.09135326707559827,0.4827447921216115,-0.11462785057587346,0.24347695636047176,7330
freass,0.015495968629586328,0.11471932808883659,0.8928943886365066,-0.20935391442453338,0.24034585168370604,7330
frerel,0.05405315381116325,0.04599378819300306,0.2434337430741702,-0.03609467104712275,0.14420097866944925,7330
fremov,-0.009099680312849474,0.07954552982739004,0.909214229701024,-0.16500891877453394,0.146809558148835,7330
fairtrial,-0.19882361187456815,0.08370698717470354,0.0201658308788335,-0.36288930673698705,-0.034757917012149225,6824
