liberty,rel_time,coef,se,pvalue,ci_lower,ci_upper,phase
freexp,-3.0,0.3138837416542465,0.38110228479432984,0.43731249530587846,-0.43307673654264,1.060844219851133,bust
freexp,-2.0,-0.04153846153846387,0.1060382637339761,0.7069091140463648,-0.249373458457057,0.16629653538012928,bust
freexp,0.0,0.18427962814157095,0.10695983855490458,0.1285754531038963,-0.025361655426042018,0.3939209117091839,bust
freexp,1.0,0.21059541761525513,0.12443507109500454,0.134402827654174,-0.03329732173095376,0.45448815696146405,bust
freexp,2.0,0.18427962814157092,0.10924729702182713,0.1355005584080522,-0.029845074021210255,0.3984043303043521,bust
freexp,3.0,0.07204103765966245,0.08616973074486801,0.43074419399512753,-0.09685163460027886,0.24093370991960378,bust
freexp,4.0,-0.04642050080187528,0.14393027318306878,0.7564774754010974,-0.3285238362406901,0.23568283463693956,bust
freexp,5.0,0.37046498831310587,0.38056208974582784,0.36275110771724695,-0.37543670758871667,1.1163666842149285,bust
freexp,-1.0,0.0,0.0,1.0,0.0,0.0,bust
freass,-3.0,0.3908316422504623,0.5472229461825894,0.4982152966100002,-0.6817253322674128,1.4633886167683374,bust
freass,-2.0,-0.007692307692310924,0.11702278232251491,0.94942800832469,-0.23705696104444013,0.2216723456598183,bust
freass,0.0,0.25714628301401987,0.0888786255533296,0.023209021726604773,0.08294417692949388,0.4313483890985459,bust
freass,1.0,0.2571462830140199,0.08887862555332966,0.023209021726604995,0.0829441769294938,0.43134838909854606,bust
freass,2.0,0.20451470406665154,0.04814194528606453,0.003801761974691731,0.11015649130596505,0.298872916827338,bust
freass,3.0,0.21024398303209157,0.09955673722458644,0.07259514609062312,0.015112778071902144,0.405375187992281,bust
freass,4.0,0.3179362907244001,0.2516307396959354,0.24686018054510295,-0.17525995907963332,0.8111325405284335,bust
freass,5.0,0.9655661869354721,0.3206505398361255,0.019626806005214048,0.33709112885666614,1.594041245014278,bust
freass,-1.0,0.0,0.0,1.0,0.0,0.0,bust
frerel,-3.0,0.38848588045774507,0.21722342308206025,0.11684810818420543,-0.03727202878309299,0.8142437896985831,bust
frerel,-2.0,0.030769230769228436,0.10990410186462932,0.7875973583540554,-0.18464280888544501,0.2461812704239019,bust
frerel,0.0,0.13440526851941345,0.0394374444554835,0.011317616020424026,0.0571078773866658,0.21170265965216112,bust
frerel,1.0,0.18703684746678184,0.0567931466095802,0.013242244310772033,0.07572228011200464,0.298351414821559,bust
frerel,2.0,0.16072105799309766,0.04209610205397137,0.006559664717334934,0.07821269796731377,0.24322941801888154,bust
frerel,3.0,-0.0575052524348549,0.060372800993131574,0.3725655421819667,-0.17583594238139277,0.06082543751168298,bust
frerel,4.0,0.011725516795915004,0.08534062090919614,0.8945857920457865,-0.15554210018610945,0.17899313377793943,bust
frerel,5.0,0.35400886710739754,0.0890659296210286,0.005360147089370049,0.17943964505018148,0.5285780891646136,bust
frerel,-1.0,0.0,0.0,1.0,0.0,0.0,bust
fremov,-3.0,0.09499163746892617,0.10280948879801208,0.3862502545247277,-0.10651496057517751,0.29649823551302984,bust
fremov,-2.0,6.793534912249685e-16,4.4512125723505214e-09,0.9999998824835785,-8.72437596245353e-09,8.724377321160513e-09,bust
fremov,0.0,0.08133867318795132,0.08551638208209336,0.373206916394899,-0.08627343569295168,0.24895078206885432,bust
fremov,1.0,-0.15550343207520645,0.3166844684702543,0.6384202295565711,-0.7762049902769048,0.4651981261264919,bust
fremov,2.0,-0.3133981689173118,0.2001928076867121,0.16145035855738743,-0.7057760719832675,0.0789797341486439,bust
fremov,3.0,-0.3697113175917094,0.20333570679182883,0.11185805807607307,-0.7682493029036939,0.02882666772027509,bust
fremov,4.0,-0.3697113175917095,0.20333570679182872,0.11185805807607263,-0.7682493029036938,0.028826667720274757,bust
fremov,5.0,-0.19547218582986559,0.19663500612008716,0.3532936599724108,-0.5808767978252365,0.18993242616550526,bust
fremov,-1.0,0.0,0.0,1.0,0.0,0.0,bust
fairtrial,-3.0,0.6310012028111824,0.41394982034059485,0.18793247181472972,-0.18034044505638347,1.4423428506787483,bust
fairtrial,-2.0,-0.02597402597402624,0.035395727234405795,0.4960051953566629,-0.0953496513534616,0.043401599405409115,bust
fairtrial,0.0,0.23279338350227677,0.05856739079634252,0.010585460741846076,0.11800129754144544,0.3475854694631081,bust
fairtrial,1.0,0.45501560572449884,0.16279256946882012,0.038215638040976385,0.1359421695656114,0.7740890418833863,bust
fairtrial,2.0,0.45501560572449884,0.1627925694688208,0.03821563804097683,0.13594216956561006,0.7740890418833877,bust
fairtrial,3.0,0.2534655548833415,0.1588285106420752,0.17141042117967964,-0.05783832597512589,0.5647694357418089,bust
fairtrial,4.0,0.3703486717664584,0.1928099910529833,0.11281346653160784,-0.007558910697388843,0.7482562542303057,bust
fairtrial,5.0,1.1679188975267043,0.45031053241644914,0.048625341888142826,0.28531025399046406,2.0505275410629444,bust
fairtrial,-1.0,0.0,0.0,1.0,0.0,0.0,bust
freexp,-3.0,-0.09773016314463906,0.1962447157467325,0.6362068489658985,-0.48236980600823476,0.28690947971895664,recovery
freexp,-2.0,-0.005869981027273067,0.012213328370160224,0.6478082221993158,-0.02980810463278711,0.01806814257824097,recovery
freexp,0.0,0.13119909691906023,0.11500529570126067,0.29742918206958335,-0.09421128265541068,0.35660947649353114,recovery
freexp,1.0,0.11089479881603065,0.13958461529379082,0.4571899876538055,-0.16269104715979937,0.38448064479186067,recovery
freexp,2.0,0.20813237398184617,0.1288434308006308,0.1573535268573587,-0.04440075038739019,0.4606654983510825,recovery
freexp,3.0,-0.07653547161413793,0.1775794513003457,0.6815272577584186,-0.4245911961628155,0.27152025293453963,recovery
freexp,4.0,0.008848820572655543,0.24739714567662968,0.9726278863424307,-0.4760495849535386,0.49374722609884975,recovery
freexp,5.0,0.20187854559509796,0.5355584969188487,0.7191829619443402,-0.8478161083658455,1.2515731995560415,recovery
freexp,-1.0,0.0,0.0,1.0,0.0,0.0,recovery
freass,-3.0,-0.09281736163572835,0.14240874189796224,0.5387005343488973,-0.37193849575573434,0.18630377248427765,recovery
freass,-2.0,-0.036113029016893276,0.04375584120754728,0.4407567115220672,-0.12187447778368596,0.0496484197498994,recovery
freass,0.0,0.3155907700232358,0.23278579688797385,0.22399416416389606,-0.1406693918771929,0.7718509319236646,recovery
freass,1.0,0.2719270018891774,0.24087405265612283,0.3020378739231533,-0.20018614131682333,0.7440401450951781,recovery
freass,2.0,0.29711304277171774,0.22631490445216054,0.2372158861779432,-0.14646416995451694,0.7406902554979524,recovery
freass,3.0,0.29784636444230916,0.22600948732717227,0.23563318643708242,-0.14513223071894849,0.7408249596035668,recovery
freass,4.0,0.3005265470422485,0.3134317483228642,0.3746726254888866,-0.31379967967056527,0.9148527737550622,recovery
freass,5.0,0.9661797093576053,0.4646091089358013,0.08278585962763962,0.055545855843434744,1.876813562871776,recovery
freass,-1.0,0.0,0.0,1.0,0.0,0.0,recovery
frerel,-3.0,0.1024080272320326,0.13806502580354038,0.48625493012447984,-0.16819942334290652,0.37301547780697175,recovery
frerel,-2.0,-0.024382131685571806,0.03342719169459845,0.4932301819026472,-0.08989942740698477,0.04113516403584115,recovery
frerel,0.0,0.053311162969362925,0.05670532957422005,0.3834341642273569,-0.05783128299610838,0.16445360893483424,recovery
frerel,1.0,0.05475322411955469,0.05632337640362498,0.3685328163205537,-0.05564059363155027,0.16514704187065965,recovery
frerel,2.0,0.05624038485747528,0.05519854630339079,0.34757368277074985,-0.05194876589717067,0.16442953561212123,recovery
frerel,3.0,0.11131043174826549,0.04912899482053673,0.06404678817699949,0.0150176019000135,0.20760326159651749,recovery
frerel,4.0,0.202485052860373,0.10357617296791279,0.09838306520517959,-0.0005242461567360746,0.40549435187748206,recovery
frerel,5.0,0.39598480436331407,0.21926361659431068,0.12094725821372632,-0.03377188416153487,0.825741492888163,recovery
frerel,-1.0,0.0,0.0,1.0,0.0,0.0,recovery
fremov,-3.0,0.28437023324354355,0.13631589996719826,0.08203825151222577,0.017191069307834983,0.5515493971792521,recovery
fremov,-2.0,0.056031854942264064,0.17220135336081144,0.7559367093810665,-0.28148279764492634,0.3935465075294545,recovery
fremov,0.0,0.09912789049528277,0.07803354822676264,0.25100430378469785,-0.053817864029172005,0.25207364501973756,recovery
fremov,1.0,-0.07798041574174809,0.11072157005690685,0.5076508269122906,-0.2949946930532855,0.1390338615697893,recovery
fremov,2.0,0.09277605675579285,0.19324119321740602,0.6481542953266453,-0.28597668195032294,0.4715287954619087,recovery
fremov,3.0,-0.24136968210062165,0.17837809279235547,0.2247698651835539,-0.5909907439736384,0.10825137977239507,recovery
fremov,4.0,-0.10966423114191326,0.19535397308661073,0.5948804118700179,-0.4925580183916703,0.2732295561078438,recovery
fremov,5.0,0.09589866978770614,0.23612849903872948,0.6987353978862596,-0.36691318832820363,0.558710527903616,recovery
fremov,-1.0,0.0,0.0,1.0,0.0,0.0,recovery
fairtrial,-3.0,-0.14532792629910302,0.07356603854020416,0.10518480453820356,-0.28951736183790316,-0.0011384907603028682,recovery
fairtrial,-2.0,-0.011058172308367354,0.017564130004788906,0.5566080158392488,-0.04548386711775361,0.023367522501018898,recovery
